****************************************************
****************************************************
 mstm calculation results
 date, time:
20250506 170210.994 
 input file:
lk1.inp
****************************************************
 input variables for run     1
 sphere data input file:
32768_bpca.pos
 number spheres
32768
 length, ref index scale factors
  1.0000000E+00  1.6750000E+00  2.1200000E-02
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  3.1999884E+01  1.0000000E+00  1.0992993E+02  3.1999884E+01
 incident plane wave
 Monte Carlo average over incident directions
 t matrix order:
    80
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
       100  1.0000E-07  1.0000E-06
 maximum Mie order, number of equations:
   4   1572864
 mean sphere Mie extinction, absorption efficiencies
  4.4073E-01  6.1492E-02
 fft translation option implemented
 cell width, cell volume fraction, cell dimension:
      72      72      72  5.0000E-01  2.0151E+00
 number of neighbor nodes, node order:
   26    4
****************************************************
 calculation results for run 
           1
 incidence averages collected: sample:
   72
 number iterations, error, solution time 
   101  1.6416E+05  7.1001E+04
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  2.2479E+01  2.1512E+03 -2.1287E+03
  down and up hemispherical scattering efficiencies (unpol, par, perp) 
  1.0510E+05  1.2107E+05  2.1019E+05  2.4213E+05  2.8373E+00  8.2426E+00
 azimuthal averaged scattering matrix
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
    0.00  2.8208E+10 -3.1766E-06  4.9178E-01  4.9178E-01 -2.4814E-07  1.9479E-03
    1.00  2.3608E+10 -4.9383E-03  4.8965E-01  4.9010E-01 -4.3974E-04  1.4334E-03
    2.00  1.3983E+10 -2.1392E-02  4.7988E-01  4.8734E-01 -2.5286E-03  2.4394E-04
    3.00  6.2731E+09 -5.8205E-02  4.5135E-01  4.8902E-01 -8.6771E-03 -1.9459E-04
    4.00  2.7190E+09 -1.3631E-01  3.9853E-01  4.8755E-01 -2.1827E-02  1.6672E-03
    5.00  1.5386E+09 -2.4278E-01  3.6077E-01  4.5467E-01 -4.1280E-02  2.0934E-03
    6.00  1.0093E+09 -3.1034E-01  3.3669E-01  4.0719E-01 -6.2813E-02  3.3225E-04
    7.00  6.9480E+08 -2.3558E-01  2.8282E-01  3.6206E-01 -6.5811E-02  4.6279E-05
    8.00  5.6134E+08 -5.4036E-02  2.1712E-01  3.2837E-01 -4.1589E-02  2.2022E-04
    9.00  5.1265E+08 -1.5366E-02  1.8064E-01  3.1792E-01 -3.1198E-02 -9.5496E-05
   10.00  5.0601E+08 -5.3304E-02  2.1177E-01  3.2120E-01 -2.9312E-02 -3.1758E-04
   11.00  5.3683E+08  2.7596E-02  2.9796E-01  3.1434E-01 -1.5674E-02 -2.5903E-04
   12.00  5.8205E+08  1.5772E-01  3.3994E-01  2.9338E-01 -1.1242E-02  4.4476E-05
   13.00  6.1414E+08  2.1971E-01  3.2091E-01  2.6216E-01 -1.9151E-02  2.5378E-04
   14.00  6.1142E+08  2.2437E-01  2.9787E-01  2.2889E-01 -2.4354E-02  2.2647E-04
   15.00  5.6670E+08  2.1151E-01  2.8536E-01  2.0998E-01 -2.1288E-02  2.5268E-05
   16.00  4.9269E+08  1.7650E-01  2.6448E-01  2.1171E-01 -1.0681E-02 -1.7535E-04
   17.00  4.2995E+08  8.8327E-02  2.3527E-01  2.3165E-01  3.6373E-03 -1.9179E-04
   18.00  4.1108E+08 -1.9094E-02  2.2342E-01  2.5077E-01  1.5351E-02 -8.8999E-05
   19.00  4.1433E+08 -7.3921E-02  2.2467E-01  2.5448E-01  2.3987E-02 -1.7577E-05
   20.00  4.0697E+08 -8.5966E-02  2.0550E-01  2.6048E-01  3.9999E-02 -3.0359E-05
   21.00  4.0061E+08 -7.5264E-02  1.7747E-01  2.6488E-01  6.3096E-02 -4.4294E-05
   22.00  4.1704E+08 -4.3363E-02  1.8361E-01  2.4153E-01  7.5713E-02  3.2119E-05
   23.00  4.5068E+08 -9.4901E-03  2.0996E-01  2.1187E-01  7.5160E-02  5.6332E-05
   24.00  4.8104E+08  1.1840E-02  2.2183E-01  2.1340E-01  6.7706E-02 -5.3211E-05
   25.00  4.9227E+08  1.9076E-02  2.1687E-01  2.4010E-01  5.2578E-02 -1.5870E-04
   26.00  4.8592E+08  1.2031E-02  2.1169E-01  2.6202E-01  3.6609E-02 -9.1971E-05
   27.00  4.6798E+08 -3.3351E-03  2.3516E-01  2.6171E-01  3.7236E-02  7.5976E-05
