****************************************************
****************************************************
 mstm calculation results
 date, time:
20250312 123707.152 
 input file:
lk1.inp
****************************************************
 input variables for run     1
 sphere data input file:
lkpos1.pos
 number spheres
 8192
 length, ref index scale factors
  1.0000000E+00  1.6750000E+00  2.1200000E-02
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.0158674E+01  1.0000000E+00  6.5469888E+01  2.0158674E+01
 incident plane wave
 Monte Carlo average over incident directions
 t matrix order:
    80
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
       100  1.0000E-07  1.0000E-06
 maximum Mie order, number of equations:
   4    393216
 mean sphere Mie extinction, absorption efficiencies
  4.4073E-01  6.1492E-02
 fft translation option implemented
 cell width, cell volume fraction, cell dimension:
   46.00  2.6577E+03 -2.0898E-01  8.0954E-01  7.7706E-01 -1.1537E-02  7.2263E-01
   47.00  2.6024E+03 -2.1472E-01  8.0573E-01  7.7053E-01 -1.1095E-02  7.1688E-01
   48.00  2.5627E+03 -2.2293E-01  8.0279E-01  7.6425E-01 -8.6968E-03  7.1091E-01
   49.00  2.5190E+03 -2.3208E-01  7.9903E-01  7.5802E-01 -6.3878E-03  7.0421E-01
   50.00  2.4705E+03 -2.4090E-01  7.9419E-01  7.5129E-01 -5.9957E-03  6.9764E-01
   51.00  2.4244E+03 -2.4942E-01  7.8908E-01  7.4264E-01 -8.2126E-03  6.9097E-01
   52.00  2.3764E+03 -2.5776E-01  7.8401E-01  7.3113E-01 -1.2617E-02  6.8220E-01
   53.00  2.3199E+03 -2.6560E-01  7.7860E-01  7.1828E-01 -1.7414E-02  6.7072E-01
   54.00  2.2595E+03 -2.7337E-01  7.7260E-01  7.0685E-01 -1.9966E-02  6.5858E-01
   55.00  2.2031E+03 -2.8263E-01  7.6601E-01  6.9733E-01 -1.9094E-02  6.4746E-01
   56.00  2.1507E+03 -2.9412E-01  7.5879E-01  6.8740E-01 -1.6607E-02  6.3644E-01
   57.00  2.0965E+03 -3.0639E-01  7.5120E-01  6.7498E-01 -1.5520E-02  6.2401E-01
   58.00  2.0397E+03 -3.1727E-01  7.4400E-01  6.6046E-01 -1.7274E-02  6.1079E-01
   59.00  1.9877E+03 -3.2657E-01  7.3792E-01  6.4569E-01 -2.1292E-02  5.9856E-01
   60.00  1.9487E+03 -3.3656E-01  7.3291E-01  6.3173E-01 -2.6205E-02  5.8742E-01
   61.00  1.9228E+03 -3.4916E-01  7.2808E-01  6.1801E-01 -3.0373E-02  5.7533E-01
   62.00  1.8989E+03 -3.6280E-01  7.2239E-01  6.0342E-01 -3.2130E-02  5.6079E-01
   63.00  1.8640E+03 -3.7344E-01  7.1511E-01  5.8787E-01 -3.1456E-02  5.4468E-01
   64.00  1.8161E+03 -3.7914E-01  7.0625E-01  5.7268E-01 -3.0957E-02  5.2923E-01
   65.00  1.7695E+03 -3.8262E-01  6.9719E-01  5.5956E-01 -3.3015E-02  5.1631E-01
   66.00  1.7404E+03 -3.8841E-01  6.9031E-01  5.4881E-01 -3.6031E-02  5.0609E-01
   67.00  1.7285E+03 -3.9785E-01  6.8651E-01  5.3820E-01 -3.6316E-02  4.9640E-01
   68.00  1.7165E+03 -4.0872E-01  6.8392E-01  5.2467E-01 -3.3633E-02  4.8428E-01
   69.00  1.6916E+03 -4.1852E-01  6.8007E-01  5.0757E-01 -3.1418E-02  4.6927E-01
   70.00  1.6582E+03 -4.2626E-01  6.7464E-01  4.8965E-01 -3.1963E-02  4.5423E-01
   71.00  1.6293E+03 -4.3255E-01  6.6937E-01  4.7425E-01 -3.3739E-02  4.4199E-01
   72.00  1.6094E+03 -4.3902E-01  6.6540E-01  4.6111E-01 -3.3957E-02  4.3138E-01
   73.00  1.5908E+03 -4.4655E-01  6.6125E-01  4.4638E-01 -3.2715E-02  4.1839E-01
   74.00  1.5656E+03 -4.5411E-01  6.5484E-01  4.2741E-01 -3.2992E-02  4.0116E-01
   75.00  1.5359E+03 -4.6050E-01  6.4695E-01  4.0608E-01 -3.6444E-02  3.8227E-01
   76.00  1.5093E+03 -4.6654E-01  6.4090E-01  3.8636E-01 -4.0721E-02  3.6554E-01
   77.00  1.4881E+03 -4.7398E-01  6.3823E-01  3.6910E-01 -4.2290E-02  3.5151E-01
   78.00  1.4695E+03 -4.8310E-01  6.3664E-01  3.5150E-01 -4.0586E-02  3.3722E-01
   79.00  1.4526E+03 -4.9223E-01  6.3316E-01  3.3154E-01 -3.7538E-02  3.2027E-01
   80.00  1.4382E+03 -4.9954E-01  6.2727E-01  3.1025E-01 -3.4875E-02  3.0120E-01
   81.00  1.4242E+03 -5.0474E-01  6.2052E-01  2.8930E-01 -3.3553E-02  2.8176E-01
   82.00  1.4084E+03 -5.0906E-01  6.1459E-01  2.6884E-01 -3.3927E-02  2.6260E-01
   83.00  1.3927E+03 -5.1339E-01  6.1019E-01  2.4845E-01 -3.5136E-02  2.4362E-01
   84.00  1.3807E+03 -5.1716E-01  6.0672E-01  2.2850E-01 -3.5727E-02  2.2535E-01
