****************************************************
****************************************************
 mstm calculation results
 date, time:
20250504 174512.518 
 input file:
lk1.inp
****************************************************
 input variables for run     1
 sphere data input file:
17559_bpca.pos
 number spheres
17559
 length, ref index scale factors
  1.0000000E+00  1.6750000E+00  2.1200000E-02
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.5991526E+01  1.0000000E+00  8.5295868E+01  2.5991526E+01
 incident plane wave
 Monte Carlo average over incident directions
 t matrix order:
    80
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
       100  1.0000E-07  1.0000E-06
 maximum Mie order, number of equations:
   4    842832
 mean sphere Mie extinction, absorption efficiencies
  4.4073E-01  6.1492E-02
 fft translation option implemented
 cell width, cell volume fraction, cell dimension:
   45.00  4.2832E+03 -1.8728E-01  7.7989E-01  7.5350E-01 -7.5336E-03  6.9643E-01
   46.00  4.1970E+03 -1.9564E-01  7.7689E-01  7.4570E-01 -1.2842E-02  6.8991E-01
   47.00  4.1178E+03 -2.0687E-01  7.7411E-01  7.3867E-01 -1.3627E-02  6.8313E-01
   48.00  3.9952E+03 -2.1712E-01  7.6807E-01  7.2910E-01 -1.3351E-02  6.7391E-01
   49.00  3.8947E+03 -2.2595E-01  7.6148E-01  7.1822E-01 -1.3512E-02  6.6430E-01
   50.00  3.8489E+03 -2.3466E-01  7.5623E-01  7.0846E-01 -1.3682E-02  6.5605E-01
   51.00  3.7819E+03 -2.4181E-01  7.4883E-01  6.9879E-01 -1.1150E-02  6.4772E-01
   52.00  3.6466E+03 -2.4671E-01  7.3724E-01  6.8765E-01 -6.9830E-03  6.3762E-01
   53.00  3.5205E+03 -2.5326E-01  7.2669E-01  6.7646E-01 -6.2598E-03  6.2736E-01
   54.00  3.4739E+03 -2.6363E-01  7.2253E-01  6.6702E-01 -8.9332E-03  6.1897E-01
   55.00  3.4640E+03 -2.7219E-01  7.2101E-01  6.5927E-01 -1.1597E-02  6.1139E-01
   56.00  3.4272E+03 -2.7669E-01  7.1581E-01  6.5116E-01 -1.4257E-02  6.0150E-01
   57.00  3.3533E+03 -2.8393E-01  7.0669E-01  6.3872E-01 -1.6952E-02  5.8680E-01
   58.00  3.2704E+03 -2.9731E-01  6.9798E-01  6.2167E-01 -1.8183E-02  5.7006E-01
   59.00  3.2127E+03 -3.1059E-01  6.9262E-01  6.0601E-01 -1.8698E-02  5.5713E-01
   60.00  3.1749E+03 -3.1963E-01  6.8848E-01  5.9397E-01 -2.2241E-02  5.4668E-01
   61.00  3.1272E+03 -3.2849E-01  6.8263E-01  5.8097E-01 -2.8189E-02  5.3414E-01
   62.00  3.0721E+03 -3.3912E-01  6.7592E-01  5.6569E-01 -2.8946E-02  5.2147E-01
   63.00  3.0248E+03 -3.4657E-01  6.6988E-01  5.5183E-01 -2.3601E-02  5.1184E-01
   64.00  2.9815E+03 -3.4881E-01  6.6416E-01  5.4127E-01 -2.0814E-02  5.0361E-01
   65.00  2.9364E+03 -3.5236E-01  6.5807E-01  5.3140E-01 -2.2812E-02  4.9330E-01
   66.00  2.8944E+03 -3.6173E-01  6.5169E-01  5.1836E-01 -2.3475E-02  4.7955E-01
   67.00  2.8552E+03 -3.7291E-01  6.4620E-01  5.0169E-01 -2.1239E-02  4.6455E-01
   68.00  2.8074E+03 -3.8237E-01  6.4248E-01  4.8398E-01 -2.1154E-02  4.4996E-01
   69.00  2.7596E+03 -3.9255E-01  6.4027E-01  4.6739E-01 -2.4944E-02  4.3496E-01
   70.00  2.7364E+03 -4.0455E-01  6.3815E-01  4.5182E-01 -2.7893E-02  4.2034E-01
   71.00  2.7313E+03 -4.1421E-01  6.3395E-01  4.3625E-01 -2.8060E-02  4.0789E-01
   72.00  2.7123E+03 -4.1890E-01  6.2684E-01  4.2178E-01 -2.7566E-02  3.9710E-01
   73.00  2.6662E+03 -4.2117E-01  6.1859E-01  4.0948E-01 -2.6206E-02  3.8642E-01
   74.00  2.6090E+03 -4.2409E-01  6.1159E-01  3.9747E-01 -2.5081E-02  3.7521E-01
   75.00  2.5578E+03 -4.2743E-01  6.0529E-01  3.8260E-01 -2.6716E-02  3.6229E-01
   76.00  2.5169E+03 -4.3111E-01  5.9859E-01  3.6261E-01 -2.9714E-02  3.4609E-01
   77.00  2.4946E+03 -4.3784E-01  5.9441E-01  3.3829E-01 -3.0657E-02  3.2780E-01
   78.00  2.4925E+03 -4.4799E-01  5.9339E-01  3.1331E-01 -2.9060E-02  3.0924E-01
