****************************************************
****************************************************
 mstm calculation results
 date, time:
20250313 020722.945 
 input file:
lk1.inp
****************************************************
 input variables for run     1
 sphere data input file:
lkpos1.pos
 number spheres
 8192
 length, ref index scale factors
  1.0000000E+00  1.3080000E+00  1.4300000E-08
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.0158674E+01  1.0000000E+00  6.5469888E+01  2.0158674E+01
 incident plane wave
 Monte Carlo average over incident directions
 t matrix order:
    80
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
       100  1.0000E-07  1.0000E-06
 maximum Mie order, number of equations:
   3    245760
 mean sphere Mie extinction, absorption efficiencies
  8.1720E-02  4.0921E-08
 fft translation option implemented
 cell width, cell volume fraction, cell dimension:
   46.00  1.6207E+03 -2.9693E-01  9.5593E-01  9.0754E-01 -5.8030E-03  8.8770E-01
   47.00  1.5810E+03 -3.1224E-01  9.5475E-01  9.0085E-01 -8.8359E-03  8.8110E-01
   48.00  1.5386E+03 -3.2823E-01  9.5365E-01  8.9361E-01 -8.2898E-03  8.7390E-01
   49.00  1.4727E+03 -3.4400E-01  9.5194E-01  8.8537E-01 -5.3325E-03  8.6542E-01
   50.00  1.3917E+03 -3.5903E-01  9.4972E-01  8.7641E-01 -2.6659E-03  8.5615E-01
   51.00  1.3216E+03 -3.7368E-01  9.4767E-01  8.6746E-01 -1.7907E-03  8.4716E-01
   52.00  1.2738E+03 -3.8883E-01  9.4609E-01  8.5846E-01 -2.1436E-03  8.3842E-01
   53.00  1.2367E+03 -4.0471E-01  9.4445E-01  8.4858E-01 -2.9180E-03  8.2875E-01
   54.00  1.1955E+03 -4.2062E-01  9.4231E-01  8.3753E-01 -4.2854E-03  8.1766E-01
   55.00  1.1481E+03 -4.3587E-01  9.3985E-01  8.2608E-01 -6.0553E-03  8.0606E-01
   56.00  1.1022E+03 -4.5052E-01  9.3742E-01  8.1504E-01 -6.7107E-03  7.9483E-01
   57.00  1.0652E+03 -4.6505E-01  9.3505E-01  8.0435E-01 -5.0932E-03  7.8382E-01
   58.00  1.0399E+03 -4.7971E-01  9.3267E-01  7.9344E-01 -2.4010E-03  7.7242E-01
   59.00  1.0240E+03 -4.9461E-01  9.3052E-01  7.8188E-01 -1.1410E-03  7.6049E-01
   60.00  1.0100E+03 -5.1010E-01  9.2880E-01  7.6934E-01 -2.3773E-03  7.4801E-01
   61.00  9.8947E+02 -5.2655E-01  9.2729E-01  7.5543E-01 -5.0377E-03  7.3450E-01
   62.00  9.6095E+02 -5.4394E-01  9.2564E-01  7.4017E-01 -7.3848E-03  7.1962E-01
   63.00  9.3253E+02 -5.6184E-01  9.2389E-01  7.2420E-01 -8.2396E-03  7.0386E-01
   64.00  9.1277E+02 -5.7968E-01  9.2238E-01  7.0812E-01 -7.4525E-03  6.8806E-01
   65.00  9.0054E+02 -5.9698E-01  9.2104E-01  6.9183E-01 -6.0984E-03  6.7232E-01
   66.00  8.8665E+02 -6.1346E-01  9.1933E-01  6.7477E-01 -5.7440E-03  6.5587E-01
